---
African Rap
go hard, mo'gunz
on ten, steven malcolm
prosper, mission k.agee
trap house, 1k phew
free from it all, lecrae
identity, lecrae
six four, steven malcolm
lil holy, whatuprg
you will, andy mineo
all the time, swoope
desperados, andy mineo
do what i gotta do, aaron cole derek minor
i got the juice, dream junkies
who else, social club andy mineo
bloodlines, alex faith
jumping jacks, 1k phew
leh get it, steven malcolm
message, shiwa n
no worries, trip lee
the saints, kb trip lee lecrae
boat life, mission
here 2016, sho baraka lecrae
mad!, aaron cole
get back right, lecrae zaytoven
rebelutionary, ruslan john givez
petco, 1k phew
covenant eyes, trip lee pro
fakin', lecrae thi'sl
connor mcdees, christon gray
hammer time, lecrae
r.u.t.s, andy mineo
preach, lecrae zaytoven
it is what it is, derek minor
well done, mission derek minor
misconceptions, da t.r.u.t.h
pressure, blake whiteley
trumpet blow, da t.r.u.t.h
tv, 1k phew
feel me, steven malcolm
yhwh, w.l.a.k swoope dre murray
they don't like me, blake whiteley
hope, da t.r.u.t.h thi'sl flame trip lee
fuego, steven malcolm anderson
cereal, steven malcolm
run boy, bumps inf gemstones bizzle
the g.o.a.t, da t.r.u.t.h
boss talk, rpsmg black knight
insomniac, trip lee andy mineo
watch, steven malcolm
shame on you, mission
sit down for this, mali music
dnou, kb
tone it down, dillon chase
countdown, dillon chase
over under, dillon chase
freedom, lecrae
rock n roll, gawvi
perfectly human, da t.r.u.t.h
round of applause, lecrae
raise the bar, blake whiteley john givez
redemption, thi'sl
hold up wait, brvdonp
way up, brvdonp mission
alyk, brvdonp da t.r.u.t.h
underrated, brvdonp mission
olympian, propaganda
i know, lecrae
lay up, andy mineo wordsplayed
swish, whatuprg
shakira, nobigdyl
hands up, lecrae propaganda
freeze, whatuprg
my whole life changed, lecrae
messengers, lecrae for king & country
rejects, lecrae christon gray
whoa now, mission
look who i'm with, tragic hero
plugged in, lecrae zaytoven
sidelines, lecrae
not today satan, kb andy mineo
almost home, gemstones
misconceptions 3, lecrae john givez jackie hill perry
blue strips, lecrae zaytoven
fuego, lecrae kb suzy rock
what you get, brvdonp lecrae
free, derek minor
give my all, kb
savage, kj52 canon
kamikaze, kb prisca
fireproof, sean simmonds
speak up, dillon chase micah smith
no chains, kb
you can't stop me, andy mineo
come thru jesus, lecrae
fadeaway, steven malcolm zauntee
like that, ruslan jon keith
zoo atlanta, 1k phew
2 sides of the game, lecrae zaytoven
we did it, 1k phew whatuprg
long live the champion, kb
idol time, dillon chase yb
fashion joe, gawvi kb
o.g only god, dillon chase
pacman, canon aaron cole
skull, gawvi
jit, gawvi
bigger than me, 1k phew
everytime, social club misfits
cassius clay, aaron cole
glory, whatuprg gawvi
bass, mouthpi3ce
the comeback, gs
tamo aqui, social club misfits
all we do is win, derek minor canon
drip lee, whatuprg 1k phew
courtside dreams, taelor gray
ashes, taelor gray tragic hero
armies, kb
fieldhouse freestyle, nobigdyl
trapchata, gawvi
slingshot, gawvi
green card, gawvi whatuprg
get em, gawvi aklesso
qoheleth, da t.r.u.t.h limoblaze
climate change, gawvi aklesso
body for body, mouthpi3ce
rocket, 1k phew
raise the meter, trip lee torey
jackson pollock, andy mineo
still, swoope
the name, kb
loyal til the end, kb jon keith
this is life, kb
let it reign, kb bizzle
celebrate more, lecrae andy mineo
intermission, da t.r.u.t.h limoblaze
landimines, da t.r.u.t.h limoblaze
rich and famous, lecrae whatuprg
restored, lecrae 1k phew wande
momma taught me, andy mineo
under pale moonlight, mouthpi3ce
still 40 deep, hulvey wande
we no entiende, propaganda swoope
can't tell it all, hulvey
put in work, swoope
autopilot, steven malcolm
holupwiat, lecrae
if god is for me, mouthpi3ce
team, indie tribe 116 nobigdyl
liu kang, mission
get through, kb lecrae
they ain't know, lecrae
price up, lecrae
break bread, andy mineo wordsplayed
ez, kb
---
CHH Low
not time to go, mouthpi3ce
he understands, datin dax hamma
deconstruction, lecrae
came for me, hulvey
omnipotent, beautiful eulogy
holy spirit, hulvey
miracle on glengate, taelor gray
understand the reasons, taelor gray
the whole man, taelor gray
elohim, taelor gray
where do we go, sho baraka
work real hard, swoope johno
am i, andy mineo
remind, andy mineo
not gon' do, andy mineo joseph solomon
trying, andy mineo
first love it, ruslan
life is, christon gray
lost, alex faith
superhuman, andy mineo
always knew, lecrae
maranatha, jackie hill perry
random thoughts, shai linne
let go, loso benjah
ft. knox, christon gray
dying breed, gemstones
saved by grace, timothy brindle shai linne
moonlight bay, shiwan
mic check 1 2, shai linne stephen the levite
vanish, christon gray swoope
doxology, beautiful eulogy
love 1959, sho baraka
the solution, jackie hill perry eshon burgundy
clarity, andy mineo
the whole truth, da t.r.u.t.h
ready, trip lee dimitri
religion, da t.r.u.t.h
amped, trip lee
the second city, steven malcolm
instruments of mercy, beautiful eulogy
even louder, steven malcolm
truth, lecrae
unity riches, shiwan
mosaic, beautiful eulogy
can't stop me now, lecrae
open letter, kb swoope
letter to the 3rd, john givez
heaven, da t.r.u.t.h
i just wanna get there, jackie hill perry
never too late, 1k phew
desperate, lecrae cam
heart song, kb
long way, 1k phew
change, lecrae
confessions, lecrae
darkie, propaganda
transcendent light, dillon chase
outsiders, lecrae
new potrait, kb
i arrived, tragic hero
as the hour draws near, shai linne evangel
dear dad, mission blake milton
skeletons, mission sean dodson
love, andy mineo
i'll find you, lecrae tori kelly
circles, gemstones
babel 2, derek minor
letter from the grave, shai linne
was it worth it, lecrae derek minor
the light, john givez
forever, 1k phew
sing to you, kb
sirens, alano adan
can't take my dream, steven malcolm
shine ain't gold, shiwan
give in, lecrae
rebel intro, kb sarah reeves
color purple, da t.r.u.t.h
never let you go, steven malcolm blanca
somebody lied, sevin
cry for you, lecrae
still bleeding, andy mineo
piano break 33 ad, sho baraka
sweet victory, trip lee
light it up, bizzle datin
misconception, lecrae propaganda braille odd thomas
lucky ones, lecrae
crescendo, jackie hill perry
death has died, andy mineo
don't forget, viktory
woman, jackie hill perry
drowning, derek minor v rose
state of mind, shiwan
welcome to america, lecrae
new world, gemstones
art of hope, kb
timepiece, lecrae
river of jordan, lecrae breyen isaac
no regrets, lecrae
death of me, andy mineo
disconnected, stephen the levite
doubts, kb
lack of knowledge, mouthpi3ce
more or less, mouthpi3ce
fear and safety, mr j medeiros
never land, andy mineo marz
break every train, tasha cobbs gemstones
lamentations, jackie hill perry
fall away, jackie hill perry
vanity, gawvi
deep end, lecrae rapsody
2 steppin', john givez
through, dillon chase
the prologue, da t.r.u.t.h
heart of david, steven malcolm
overflow, steven malcolm
the beauty of dreams, steven malcolm
devils work, bizzle
not by chance, aaron cole
love don't cost a thing, aaron cole
trigger dedication, selah the corner
believe, social club misfits
tamo aqui, social club misfits
bloodfire, eshon burgundy
family photo second half, andy mineo
reflections rough, andy mineo
baker act, gawvi
mercy, mouthpi3ce
never fail, da t.r.u.t.h
sinners chaos, gawvi
so alive, gawvi
didn't i, lecrae
be the light, wande evan eris
alive and well, datin da t.r.u.t.h
i got questions, mouthpi3ce
rappity rappers, mouthpi3ce
drown, lecrae john legend
revival of my soul, mouthpi3ce
tug of war, mouthpi3ce
pride & division, mouthpi3ce
