---
African Rap
go hard, mo'gunz
world outside your window studio, hillsong young & free
be alright, dante bowe amanda cook
uncomplicated studio, hillsong young & free
world outside your window live, hillsong young & free
uncomplicated live, hillsong young & free
as you find me live, hillsong united
the wind, kari jobe
anthem of praise, kari jobe
heaven invade, kari jobe
love so holy, kari jobe
your nature, kari jobe
let the light in, kari jobe
olorun agbaye you are mighty, nathaniel bassey
fresh wind, hillsong worship
wonder spontaneous, bethel music
you don't miss a thing, bethel music
amazing grace, carrie underwood
just as i am, carrie underwood
where do i fit in, justin bieber tori kelly
the war is over live, bethel music kalley
i wanna know you, dante bowe
washed in the blood, hulvey
only praise, ty bello nosa
our king, ty bello
yasou, ty bello
come again, elevation worship brandon lake
before and after, elevation worship amanda cook
in your majesty, ty bello
build your church, elevation worship
we raise our voices, ty bello
who is like you, ty bello
jireh, elevation worship chandler moore
good god, limoblaze ada ehi
closer live, bethel music steffany gretzinger
dependable, travis greene
easter, travis greene todd dulaney
hills and valleys the valleys version, tauren wells
him to you, gabriella brei
first deluxe, lauren daigle
come to life, kanye west
you won't let go, michael w smith
na your way, nosa
there's nothing, amanda cook
holy, martin smith kari jobe
beauty, bethel music
surrounded by holy, bethel music
the great beyond, bethel music
time and time again, bethel music
precious blood, bethel music
